type;gateway_eui;node_eui;snr;rssi;cr;datarate;time;data,,
"16;0000B827EB24A52C;10;8;-54;5;SF9BW500;2025-06-07 11:35:41;{""RSSI"": -54"," ""SNR"": 8"," ""TC"": ""28.35........................................""};"
"16;0000B827EB24A52C;10;8;-54;5;SF9BW500;2025-06-07 11:35:48;{""RSSI"": -54"," ""SNR"": 8"," ""TC"": ""28.38........................................""};"
"16;0000B827EB24A52C;10;7;-64;5;SF9BW500;2025-06-07 11:35:56;{""RSSI"": -64"," ""SNR"": 7"," ""TC"": ""28.35........................................""};"
"16;0000B827EB24A52C;10;8;-63;5;SF9BW500;2025-06-07 11:36:03;{""RSSI"": -63"," ""SNR"": 8"," ""TC"": ""28.33........................................""};"
"16;0000B827EB24A52C;10;7;-57;5;SF9BW500;2025-06-07 11:36:11;{""RSSI"": -57"," ""SNR"": 7"," ""TC"": ""28.38........................................""};"
"16;0000B827EB24A52C;10;6;-58;5;SF9BW500;2025-06-07 11:36:18;{""RSSI"": -58"," ""SNR"": 6"," ""TC"": ""28.33........................................""};"
"16;0000B827EB24A52C;10;8;-56;5;SF9BW500;2025-06-07 11:36:25;{""RSSI"": -56"," ""SNR"": 8"," ""TC"": ""28.35........................................""};"
"16;0000B827EB24A52C;10;8;-55;5;SF9BW500;2025-06-07 11:36:33;{""RSSI"": -55"," ""SNR"": 8"," ""TC"": ""28.35........................................""};"
"16;0000B827EB24A52C;10;8;-56;5;SF9BW500;2025-06-07 11:36:40;{""RSSI"": -56"," ""SNR"": 8"," ""TC"": ""28.35........................................""};"
"16;0000B827EB24A52C;10;8;-55;5;SF9BW500;2025-06-07 11:36:47;{""RSSI"": -55"," ""SNR"": 8"," ""TC"": ""28.35........................................""};"
"16;0000B827EB24A52C;10;8;-56;5;SF9BW500;2025-06-07 11:36:55;{""RSSI"": -56"," ""SNR"": 8"," ""TC"": ""28.33........................................""};"
"16;0000B827EB24A52C;10;6;-58;5;SF9BW500;2025-06-07 11:37:02;{""RSSI"": -58"," ""SNR"": 6"," ""TC"": ""28.35........................................""};"
"16;0000B827EB24A52C;10;6;-58;5;SF9BW500;2025-06-07 11:37:09;{""RSSI"": -58"," ""SNR"": 6"," ""TC"": ""28.38........................................""};"
"16;0000B827EB24A52C;10;8;-65;5;SF9BW500;2025-06-07 11:37:17;{""RSSI"": -65"," ""SNR"": 8"," ""TC"": ""28.38........................................""};"
"16;0000B827EB24A52C;10;6;-64;5;SF9BW500;2025-06-07 11:37:24;{""RSSI"": -64"," ""SNR"": 6"," ""TC"": ""28.40........................................""};"
"16;0000B827EB24A52C;10;8;-57;5;SF9BW500;2025-06-07 11:37:32;{""RSSI"": -57"," ""SNR"": 8"," ""TC"": ""28.42........................................""};"
"16;0000B827EB24A52C;10;5;-53;5;SF9BW500;2025-06-07 11:37:39;{""RSSI"": -53"," ""SNR"": 5"," ""TC"": ""28.42........................................""};"
"16;0000B827EB24A52C;10;6;-53;5;SF9BW500;2025-06-07 11:37:46;{""RSSI"": -53"," ""SNR"": 6"," ""TC"": ""28.44........................................""};"
"16;0000B827EB24A52C;10;8;-53;5;SF9BW500;2025-06-07 11:37:54;{""RSSI"": -53"," ""SNR"": 8"," ""TC"": ""28.44........................................""};"
"16;0000B827EB24A52C;10;8;-54;5;SF9BW500;2025-06-07 11:38:01;{""RSSI"": -54"," ""SNR"": 8"," ""TC"": ""28.44........................................""};"
"16;0000B827EB24A52C;10;6;-53;5;SF9BW500;2025-06-07 11:38:08;{""RSSI"": -53"," ""SNR"": 6"," ""TC"": ""28.44........................................""};"
"16;0000B827EB24A52C;10;8;-53;5;SF9BW500;2025-06-07 11:38:16;{""RSSI"": -53"," ""SNR"": 8"," ""TC"": ""28.48........................................""};"
"16;0000B827EB24A52C;10;8;-54;5;SF9BW500;2025-06-07 11:38:23;{""RSSI"": -54"," ""SNR"": 8"," ""TC"": ""28.46........................................""};"
